id,question,option1,option2,option3,option4,correct_answer_index
1,Dans quelle période préhistorique les premiers outils en pierre taillée ont-ils été utilisés ?,Le Paléolithique inférieur,Le Néolithique,Le Mésolithique,Le Paléolithique supérieur,0
2,Quel hominidé est associé à la culture moustérienne ?,Néandertal,Homo sapiens,Homo erectus,Homo habilis,0
3,Comment appelle-t-on les dessins réalisés sur les parois des grottes,"comme à Lascaux ?,Art rupestre",Fresque pariétale,Peinture murale,Gravure rupestre,0
4,Quelle invention marque le début de la sédentarisation au Néolithique ?,La poterie,La métallurgie,L’agriculture,La navigation,2
5,Quelle ville grecque antique est connue pour avoir inventé la démocratie ?,Athènes,Corinthe,Spartes,Thèbes,0
6,Qui était le principal rival de Rome durant les guerres puniques ?,Syracuse,Alexandrie,Massalia,Carthage,3
7,Sous quel empereur romain le Colisée a-t-il été inauguré ?,Néron,Titus,Domitien,Auguste,1
8,Qui est la déesse grecque de la sagesse ?,Héra,Artémis,Aphrodite,Athéna,3
9,Quel fleuve est associé à l’Égypte ancienne ?,Le Tigre,L’Euphrate,Le Jourdain,Le Nil,3
10,Quelle civilisation précolombienne a construit Chichen Itzá ?,Les Aztèques,Les Incas,Les Olmèques,Les Mayas,3
11,Qui a été sacré empereur d’Occident en l’an 800 ?,Otton Ier,Charles Martel,Charlemagne,Clovis,2
12,Quel peuple venu du Nord a attaqué les côtes de l’Europe au IXe siècle ?,Les Normands,Les Vikings,Les Saxons,Les Wisigoths,1
13,Quelle guerre a opposé la France et l’Angleterre de 1337 à 1453 ?,La guerre de Cent Ans,La guerre des Deux-Roses,La guerre de Succession,L’Anarchie,0
14,Quelle maladie a décimé l’Europe au XIVe siècle ?,La variole,La lèpre,Le choléra,La peste noire,3
15,Quel artiste a peint “La Joconde” ?,Raphaël,Léonard de Vinci,Michel-Ange,Sandro Botticelli,1
16,Quelle invention de Gutenberg a révolutionné la diffusion du savoir ?,La boussole,L’imprimerie,Le papier,La poudre à canon,1
17,Quel roi est surnommé le “Roi Soleil” ?,Louis XIV,François Ier,Henri IV,Charles X,0
18,Quelle philosophie a influencé les révolutions du XVIIIe siècle ?,Le stoïcisme,Le romantisme,Les Lumières,Le positivisme,2
19,En quelle année a eu lieu la prise de la Bastille ?,1792,1804,1815,1789,3
20,Quel général devint empereur des Français en 1804 ?,Napoléon Bonaparte,Jean Lannes,Michel Ney,Louis XVIII,0
21,Quelle guerre a débuté après l’assassinat de l’archiduc François-Ferdinand ?,La Première Guerre mondiale,La Seconde Guerre mondiale,La guerre de Crimée,La guerre de Sécession,0
22,Quel dictateur allemand est arrivé au pouvoir en 1933 ?,Adolf Hitler,Joseph Staline,Benito Mussolini,Francisco Franco,0
23,Quel mur est tombé en 1989,Berlin Wall,Iron Curtain,Wall of China,"marquant la fin de la guerre froide ?,Le mur de Berlin",3
24,Quelle pandémie mondiale a éclaté en 2019 ?,La COVID-19,La grippe aviaire,Le SRAS,La variole du singe,0
25,En quelle année la Confédération suisse a-t-elle été fondée ?,1848,1948,1815,1291,3
26,Qui est l’auteur de Germinal,Victor Hugo,Alphonse Daudet,Guy de Maupassant,"un roman emblématique du naturalisme français ?,Émile Zola",3
27,Quel est le courant littéraire auquel appartient le poète Charles Baudelaire ?,Le réalisme,Le romantisme,Le symbolisme,Le surréalisme,2
