id,question,option1,option2,option3,option4,correct_answer_index
1,Dans quelle période préhistorique les premiers outils en pierre taillée ont-ils été utilisés ?,Le Paléolithique inférieur,Le Néolithique,Le Mésolithique,L'âge du bronze,0
2,Quel hominidé est associé à la culture moustérienne ?,Homo habilis,Néandertal,Homo sapiens,Australopithèque,1
3,"Comment appelle-t-on les dessins réalisés sur les parois des grottes, comme à Lascaux ?",Art rupestre,Fresque primitive,Peinture paléolithique,Pictogramme préhistorique,0
4,Quelle invention marque le début de la sédentarisation au Néolithique ?,L'agriculture,La roue,L'écriture,Le feu,0
5,Quelle ville grecque antique est connue pour avoir inventé la démocratie ?,Sparte,Athènes,Corinthe,Thèbes,1
6,Qui était le principal rival de Rome durant les guerres puniques ?,La Perse,L'Égypte,Carthage,La Macédoine,2
7,Sous quel empereur romain le Colisée a-t-il été inauguré ?,Auguste,Néron,Titus,Constantin,2
8,Qui est la déesse grecque de la sagesse ?,Héra,Athéna,Artémis,Aphrodite,1
9,Quel fleuve est associé à l'Égypte ancienne ?,L'Euphrate,Le Tigre,Le Nil,Le Jourdain,2
10,Quelle civilisation précolombienne a construit Chichen Itzá ?,Les Mayas,Les Aztèques,Les Incas,Les Olmèques,0
11,Qui a été sacré empereur d'Occident en l'an 800 ?,Charlemagne,Clovis,Louis XIV,Napoléon,0
12,Quel peuple venu du Nord a attaqué les côtes de l'Europe au IXe siècle ?,Les Vikings,Les Normands,Les Saxons,Les Huns,0
13,Quelle guerre a opposé la France et l'Angleterre de 1337 à 1453 ?,La guerre de Cent Ans,La guerre de Trente Ans,La guerre de Sept Ans,La guerre des Deux-Roses,0
14,Quelle maladie a décimé l'Europe au XIVe siècle ?,La peste noire,La variole,Le choléra,La grippe espagnole,0
15,"Quel artiste a peint ""La Joconde"" ?",Léonard de Vinci,Michel-Ange,Raphaël,Botticelli,0
